account_id,name,phone,email,device_id,ip_address,shipping_address,signup_date
ACC_L0153,Osha Nagy,6045284789,bimalabiswas@example.net,dev_683e42b84c99,180.103.202.27,"H.No. 90, Bhandari Nagar, Karawal Nagar 441025",2026-08-13T07:20:00
ACC_L0227,Chavvi Sekhon,0196013518,bina08@example.net,dev_844a6f2f6125,208.64.71.222,"13/76, Chakraborty Ganj, Mango 711713",2026-07-29T08:53:00
ACC_L0176,Harsh Gera,5196754699,rpillai@example.org,dev_1461420b03f7,107.31.181.53,"84, Sundaram Circle, Begusarai-749302",2026-06-11T16:58:00
ACC_L0118,Jeremiah Oak,9996023911,lipikabose@example.net,dev_5ac7e42da052,206.73.30.180,"H.No. 618, Sangha Street, Naihati-429143",2026-07-31T00:23:00
ACC_L0207,Gautami Chadha,9318926274,anitajhaveri@example.org,dev_1d96574b6332,219.93.32.30,"48, Sathe Nagar, Kolkata-562274",2026-08-29T21:06:00
ACC_L0057,Aradhana Agrawal,4218388589,ftaneja@example.com,dev_d00cd24cae2d,195.186.167.39,"H.No. 978, Dugar Road, Sangli-Miraj & Kupwad 667405",2026-06-30T13:02:00
ACC_L0081,Harini Chanda,7072407696,yashoda20@example.org,dev_d00106d35bcc,155.57.228.90,"H.No. 595, Subramanian Street, Allahabad-761513",2026-07-05T06:48:00
ACC_L0111,Pushti Sampath,8623310452,ddugar@example.com,dev_3740e5f5ff18,172.102.117.131,"09/282, Nagy Street, Bihar Sharif-024739",2026-07-02T21:25:00
ACC_L0069,Daksha Bahri,7661100639,chahaloeshi@example.net,dev_7489fe5ed80c,51.142.65.98,"24, Bahl Zila, Satara-910166",2026-07-17T03:43:00
ACC_L0169,Barkha Wable,4104091677,watika89@example.com,dev_be0b313f8643,205.92.163.197,"568, Rai Zila, Ambarnath 525078",2026-07-25T20:05:00
ACC_L0052,Vedhika Deol,0189568798,yray@example.net,dev_449343009a92,182.113.121.49,"H.No. 739, Baral Circle, Guntakal-020874",2026-08-04T17:31:00
ACC_L0244,Chaitanya Setty,4069728927,kala71@example.com,dev_5d0e7873e2d5,169.119.144.192,"H.No. 33, Balakrishnan Zila, Thrissur-182030",2026-06-29T06:42:00
ACC_N5_1,Robert Srinivas,9316711360,brijesh15@example.com,dev_d2180b0ad7f5,158.250.240.74,"H.No. 700, Wason Ganj, Ludhiana-816606",2026-07-31T10:22:00
ACC_L0258,Abeer Kapoor,9529105250,harinakshi35@example.net,dev_be51247b5b99,34.170.42.186,"99/14, Srinivasan Path, Gulbarga 422574",2026-06-06T20:20:00
ACC_L0126,Zinal Rajagopal,0898932201,ssha@example.com,dev_16c476b48e1e,136.127.66.135,"48, Khalsa Marg, Kharagpur-307553",2026-07-21T15:11:00
ACC_L0075,Hitesh Gera,3482783515,narangveda@example.org,dev_55ae8d5b8b31,72.160.36.170,"55/563, Lad Zila, Jamshedpur-121982",2026-08-17T04:04:00
ACC_L0047,Balveer Korpal,4551542208,nandinidasgupta@example.net,dev_61ca2458a83b,186.104.137.70,"80/108, Borah Nagar, Kota-783236",2026-08-30T17:08:00
ACC_L0172,Samesh Kaur,1423280901,gopalvenkatesh@example.org,dev_be3953951cc3,205.131.234.143,"67, Maharaj Marg, Ulhasnagar-398359",2026-07-23T19:43:00
ACC_L0212,Gautami Mohanty,2534706373,savantishwar@example.net,dev_4ee359d6ab57,221.146.94.172,"H.No. 71, Sarkar Ganj, Secunderabad 565183",2026-08-11T20:38:00
ACC_L0170,Varsha Hans,5216025331,harshil19@example.net,dev_94aaac08f040,171.221.185.152,"289, Dass Path, Gudivada 848288",2026-06-02T00:44:00
ACC_L0023,Rachit Chatterjee,1251714504,bhavyakannan@example.net,dev_619be40f05b0,179.48.239.128,"086, Saran Circle, Bhavnagar-925726",2026-07-26T04:02:00
ACC_L0066,Yashawini Borra,7776060217,nisha92@example.net,dev_9b600be9d7ec,12.75.152.143,"21/53, Sridhar Path, Jaipur 184241",2026-08-11T11:05:00
ACC_L0211,Radha Balakrishnan,5176108317,ubika84@example.org,dev_5088f0289059,42.11.124.112,"H.No. 737, Baria Circle, Katni-878375",2026-07-03T19:51:00
ACC_L0112,Kavya Narayan,6957755962,yatinlall@example.org,dev_a7fa6cf9d62c,147.239.30.211,"H.No. 47, Bal Marg, Saharsa-112638",2026-07-11T07:29:00
ACC_N1_2,Kala Setty,3605743111,mayadugar@example.com,dev_018ead016186,11.100.194.30,"20, Mitter Nagar, Amravati 650083",2026-06-20T19:06:00
